index,airborne delay cost,ground delay cost,transform
"[34, 32, 28, 35, 36, 35, 35, 33, 36, 35, 33, 34, 32, 36, 27, 22, 29, 25]",2397.2323023806375,127.5,1
"[34, 32, 27, 37, 35, 35, 35, 33, 36, 35, 33, 34, 32, 36, 27, 22, 29, 25]",2397.2323023806375,127.5,1
"[34, 31, 29, 36, 35, 35, 35, 33, 36, 35, 33, 34, 32, 36, 27, 22, 29, 25]",2395.520279209207,130.0,0
"[34, 31, 28, 37, 35, 35, 35, 33, 36, 35, 33, 34, 32, 36, 27, 22, 29, 25]",2395.520279209207,130.0,1
"[34, 31, 29, 36, 35, 35, 35, 33, 35, 36, 33, 34, 32, 36, 27, 22, 29, 25]",2395.520279209207,130.0,1
"[34, 31, 29, 36, 35, 35, 35, 33, 35, 35, 34, 34, 32, 36, 27, 22, 29, 25]",2388.8325417281762,135.0,0
"[34, 31, 28, 36, 36, 35, 35, 33, 35, 35, 34, 34, 32, 36, 27, 22, 29, 25]",2388.8325417281762,135.0,1
"[34, 31, 28, 37, 35, 35, 35, 33, 35, 35, 34, 34, 32, 36, 27, 22, 29, 25]",2388.8325417281762,135.0,1
"[34, 31, 29, 35, 36, 35, 35, 33, 35, 35, 34, 34, 32, 36, 27, 22, 29, 25]",2388.8325417281762,135.0,1
"[34, 31, 28, 37, 35, 35, 35, 33, 35, 35, 34, 34, 32, 36, 27, 22, 29, 25]",2388.8325417281762,135.0,1
"[34, 31, 29, 36, 35, 35, 35, 32, 36, 35, 34, 34, 32, 36, 27, 22, 29, 25]",2388.8325417281762,135.0,1
"[34, 31, 29, 36, 35, 35, 35, 33, 35, 35, 34, 34, 32, 35, 28, 22, 29, 25]",2377.653266132841,137.5,0
"[34, 31, 29, 35, 35, 36, 35, 33, 35, 35, 34, 34, 32, 35, 28, 22, 29, 25]",2377.653266132841,137.5,1
"[34, 31, 29, 36, 35, 35, 34, 34, 35, 35, 34, 34, 32, 35, 28, 22, 29, 25]",2375.5117736820175,140.0,0
"[34, 31, 28, 36, 36, 35, 34, 34, 35, 35, 34, 34, 32, 35, 28, 22, 29, 25]",2375.5117736820175,140.0,1
"[34, 31, 29, 36, 35, 35, 34, 34, 35, 35, 34, 34, 31, 36, 28, 22, 29, 25]",2376.257820073839,142.5,0
"[34, 31, 29, 36, 35, 35, 34, 34, 35, 34, 34, 35, 31, 36, 28, 22, 29, 25]",2370.5709179329706,147.5,0
"[34, 31, 29, 35, 35, 36, 34, 34, 35, 34, 34, 35, 31, 36, 28, 22, 29, 25]",2370.5709179329706,147.5,1
"[34, 31, 29, 35, 36, 35, 34, 34, 35, 34, 34, 35, 31, 36, 28, 22, 29, 25]",2370.5709179329706,147.5,1
"[34, 31, 28, 36, 36, 35, 34, 34, 35, 34, 34, 35, 31, 36, 28, 22, 29, 25]",2370.5709179329706,147.5,1
"[34, 31, 29, 35, 36, 35, 34, 34, 35, 34, 34, 35, 31, 36, 28, 22, 29, 25]",2370.5709179329706,147.5,1
"[34, 31, 29, 35, 36, 35, 34, 34, 35, 34, 34, 35, 31, 36, 28, 22, 29, 25]",2370.5709179329706,147.5,1
"[34, 31, 29, 35, 35, 36, 34, 34, 35, 34, 34, 35, 31, 36, 28, 22, 29, 25]",2370.5709179329706,147.5,1
"[34, 31, 29, 35, 35, 36, 34, 34, 35, 34, 34, 35, 31, 36, 28, 22, 29, 25]",2370.5709179329706,147.5,1
"[34, 31, 29, 35, 35, 36, 34, 34, 35, 34, 34, 35, 31, 36, 28, 22, 29, 25]",2370.5709179329706,147.5,1
"[34, 31, 29, 35, 35, 36, 34, 34, 35, 34, 34, 35, 31, 36, 28, 22, 29, 25]",2370.5709179329706,147.5,1
"[34, 31, 29, 36, 34, 35, 35, 34, 35, 34, 34, 35, 31, 36, 28, 22, 29, 25]",2370.5709179329706,147.5,1
"[34, 31, 28, 36, 36, 35, 34, 34, 35, 34, 34, 35, 31, 36, 28, 22, 29, 25]",2370.5709179329706,147.5,1
"[34, 31, 28, 37, 35, 35, 34, 34, 35, 34, 34, 35, 31, 36, 28, 22, 29, 25]",2370.5709179329706,147.5,1
"[34, 31, 29, 36, 35, 35, 34, 34, 35, 34, 33, 36, 31, 36, 28, 22, 29, 25]",2370.5709179329706,147.5,1
"[34, 31, 29, 36, 35, 35, 34, 34, 34, 35, 34, 35, 31, 36, 28, 22, 29, 25]",2370.0498450211785,150.0,0
"[34, 31, 28, 36, 36, 35, 34, 34, 34, 35, 34, 35, 31, 36, 28, 22, 29, 25]",2370.0498450211785,150.0,1
"[34, 31, 29, 36, 35, 34, 34, 35, 34, 35, 34, 35, 31, 36, 28, 22, 29, 25]",2370.0498450211785,150.0,1
"[34, 31, 29, 35, 35, 36, 34, 34, 34, 35, 34, 35, 31, 36, 28, 22, 29, 25]",2370.0498450211785,150.0,1
"[34, 31, 28, 36, 36, 35, 34, 34, 34, 35, 34, 35, 31, 36, 28, 22, 29, 25]",2370.0498450211785,150.0,1
"[34, 31, 28, 36, 36, 35, 34, 34, 34, 35, 34, 35, 31, 36, 28, 22, 29, 25]",2370.0498450211785,150.0,1
